"InChIKey","ClassyFy Status","Kingdom","Superclass","Class","Subclass","Parent Level 1","Parent Level 2","Parent Level 3","Parent Level 4","Parent Level 5"
"QFYYAIBEHOEZKC-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Phenols","Methoxyphenols","Methoxyphenols"
"HJJPJSXJAXAIPN-UHFFFAOYSA-N","Completed","Organic compounds","Alkaloids and derivatives","","","Alkaloids and derivatives"
"YHQDZJICGQWFHK-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Quinolines and derivatives","Nitroquinolines and derivatives","4-nitroquinoline N-oxides"
"GZFFFMYJURFCNK-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Isobenzofurans","","Isobenzofurans"
"FAMPSKZZVDUYOS-HRGUGZIWSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids","Sesquiterpenoids"
"LQZXAHKUYJVAAR-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Hydroxy acids and derivatives","Beta hydroxy acids and derivatives","Beta hydroxy acids and derivatives"
"FNQFNSGVMLMZNV-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids","Germacrane sesquiterpenoids"
"ITJIJDWFGMAIKB-PKIAMQTDSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Naphthofurans","","Naphthofurans"
"SLSIBLKBHNKZTB-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Quinolines and derivatives","Furanoquinolines","Furanoquinolines"
"VRCXJKSBSNVDFC-UHFFFAOYSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Coumarins and derivatives","","Coumarins and derivatives"
"MHVJRKBZMUDEEV-WANGQUDJSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Diterpenoids","Diterpenoids"
"CFNMUZCFSDMZPQ-KPKJPENVSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Coumarins and derivatives","","Coumarins and derivatives"
"SXOVHHHRXOYVGV-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene lactones","Diterpene lactones"
"VNADFOGBKXRWGC-RIYZIHGNSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene lactones","Terpene lactones"
"GHKISGDRQRSCII-ZOCIIQOWSA-N","Completed","Organic compounds","Alkaloids and derivatives","Benzophenanthridine alkaloids","Hexahydrobenzophenanthridine alkaloids","Hexahydrobenzophenanthridine alkaloids"
"RAZHULSADOGMPF-BQYQJAHWSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Tricarboxylic acids and derivatives","Tricarboxylic acids and derivatives"
"XUWSHXDEJOOIND-MEVVXUJLSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene glycosides","Iridoid O-glycosides"
"AUNGANRZJHBGPY-SCRDCRAPSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Pteridines and derivatives","Alloxazines and isoalloxazines","Flavins"
"IYGFCSHMPLAHTK-WBBCYVCWSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Methoxybenzenes","Dimethoxybenzenes"
