Name,InChIKey,Mix label,Exact Mass,Formula,[M+H]+,[M+NH4]+,[M+Na]+
Lithocholic acid,SMEROWZSTRWXGI-HVATVPOCSA-N,Bile acids 1,376.29775,C24H40O3,377.3050261,394.3315661,399.2869661
α-Muricholic acid,DKPMWHFRUGMUKF-JDDNAIEOSA-N,Bile acids 1,408.28757,C24H40O5,409.2948554,426.3213954,431.2767954
Glycolithocholic acid,XBSQTYHEGZTYJE-OETIFKLTSA-N,Bile acids 1,433.31921,C26H43NO4,434.3264899,451.3530299,456.3084299
Glycochenodeoxycholic acid,GHCZAUBVMUEKKP-GYPHWSFCSA-N,Bile acids 1,449.31412,C26H43NO5,450.3214045,467.3479445,472.3033445
Glycocholic acid,RFDAIACWWDREDC-FRVQLJSFSA-N,Bile acids 1,465.30904,C26H43NO6,466.3163191,483.3428591,488.2982591
Tauroursodeoxycholic acid,BHTRKEVKTKCXOH-LBSADWJPSA-N,Bile acids 1,499.29676,C26H45NO6S,500.3040403,517.3305803,522.2859803
Taurodehydrocholate,UBDJSBRKNHQFPD-PYGYYAGESA-N,Bile acids 1,509.24472,C26H39NO7S,510.2520048,527.2785448,532.2339448
Chenodeoxycholic acid,RUDATBOHQWOJDD-BSWAIDMHSA-N,Bile acids 2,392.29266,C24H40O4,393.2999408,410.3264808,415.2818808
ω-Muricholic acid,DKPMWHFRUGMUKF-NTPBNISXSA-N,Bile acids 2,408.28757,C24H40O5,409.2948554,426.3213954,431.2767954
Glycodeoxycholic acid,WVULKSPCQVQLCU-BUXLTGKBSA-N,Bile acids 2,449.31412,C26H43NO5,450.3214045,467.3479445,472.3033445
Taurochenodeoxycholic acid,BHTRKEVKTKCXOH-BJLOMENOSA-N,Bile acids 2,499.29676,C26H45NO6S,500.3040403,517.3305803,522.2859803
Tauro-α-Muricholic acid,XSOLDPYUICCHJX-OEYGYFRSSA-N,Bile acids 2,515.29167,C26H45NO7S,516.298955,533.325495,538.280895
Deoxycholic acid,KXGVEGMKQFWNSR-LLQZFEROSA-N,Bile acids 3,392.29266,C24H40O4,393.2999408,410.3264808,415.2818808
Cholic acid,BHQCQFFYRZLCQQ-OELDTZBJSA-N,Bile acids 3,408.28757,C24H40O5,409.2948554,426.3213954,431.2767954
Glycoursodeoxycholic acid,GHCZAUBVMUEKKP-XROMFQGDSA-N,Bile acids 3,449.31412,C26H43NO5,450.3214045,467.3479445,472.3033445
Taurodeoxycholic acid,AWDRATDZQPNJFN-VAYUFCLWSA-N,Bile acids 3,499.29676,C26H45NO6S,500.3040403,517.3305803,522.2859803
Tauro-β-Muricholic acid,XSOLDPYUICCHJX-UZUDEGBHSA-N,Bile acids 3,515.29167,C26H45NO7S,516.298955,533.325495,538.280895
Ursodeoxycholic acid,RUDATBOHQWOJDD-UZVSRGJWSA-N,Bile acids 4,392.29266,C24H40O4,393.2999408,410.3264808,415.2818808
β-Muricholic acid,DKPMWHFRUGMUKF-CRKPLTDNSA-N,Bile acids 4,408.28757,C24H40O5,409.2948554,426.3213954,431.2767954
Glycohyodeoxycholic acid,SPOIYSFQOFYOFZ-BRDORRHWSA-N,Bile acids 4,449.31412,C26H43NO5,450.3214045,467.3479445,472.3033445
Taurolithocholic acid,QBYUNVOYXHFVKC-GBURMNQMSA-N,Bile acids 4,483.30184,C26H45NO5S,484.3091257,501.3356657,506.2910657
Taurocholic acid,WBWWGRHZICKQGZ-HZAMXZRMSA-N,Bile acids 4,515.29167,C26H45NO7S,516.298955,533.325495,538.280895
2-Hydroxybutyric Acid,AFENDNXGAFYKQO-VKHMYHEASA-N,GC LIB 1,104.04734,C4H8O3,105.0546251,122.0811651,127.0365651
Abietic Acid,RSWGJHLUYNHPMX-ONCXSQPRSA-N,GC LIB 1,302.22458,C20H30O2,303.2318612,320.2584012,325.2138012
Benzoic Acid,WPYMKLBDIGXBTP-UHFFFAOYSA-N,GC LIB 1,122.03678,C7H6O2,123.0440604,140.0706004,145.0260004
2-Amino-3-Methoxybenzoic Acid,SXOPCLUOUFQBJV-UHFFFAOYSA-N,GC LIB 1,167.05824,C8H9NO3,168.0655242,185.0920642,190.0474642
"4-Androsten-3,17-Dione",AEMFNILZOJDQLW-QAGGRKNESA-N,GC LIB 1,286.19328,C19H26O2,287.2005611,304.2271011,309.1825011
D (-) Fructose,BJHIKXHVCXFQLS-UYFOZJQFSA-N,GC LIB 1,180.06339,C6H12O6,181.0706691,198.0972091,203.0526091
D(-) Ribose,PYMYPHUHKUWMLA-LMVFSUKVSA-N,GC LIB 1,150.05282,C5H10O5,151.0601044,168.0866444,173.0420444
D-Glucose-6-Phosphate,VFRROHXSMXFLSN-SLPGGIOYSA-N,GC LIB 1,260.02972,C6H13O9P,261.037,278.06354,283.01894
Dl-Isoleucine,AGPKZVBTJJNPAG-UHFFFAOYSA-N,GC LIB 1,131.09463,C6H13NO2,132.1019097,149.1284497,154.0838497
D-Malic Acid,BJEPYKJPYRNKOW-UWTATZPHSA-N,GC LIB 1,134.02152,C4H6O5,135.0288043,152.0553443,157.0107443
D-Pantothenic Acid Calcium Salt,GHOKWGTUZJEAQD-UHFFFAOYSA-N,GC LIB 1,219.11067,C9H17NO5,220.1179537,237.1444937,242.0998937
L-(−)-Fucose,PNNNRSAQSRJVSB-KCDKBNATSA-N,GC LIB 1,164.06847,C6H12O5,165.0757545,182.1022945,187.0576945
L-(+) Lactic Acid,JVTAAEKCZFNVCJ-REOHCLBHSA-N,GC LIB 1,90.03169,C3H6O3,91.03897505,108.0655151,113.0209151
L-Tryptophan,QIVBCDIJIAJPQS-VIFPVBQESA-N,GC LIB 1,204.08988,C11H12N2O2,205.0971586,222.1236986,227.0790986
N-Carbobenzyloxy-L-Leucine,USPFMEKVPDBMCG-LBPRGKRZSA-N,GC LIB 1,265.13141,C14H19NO4,266.1386891,283.1652291,288.1206291
N-Methyl-L-Alanine,GDFAOVXKHJXLEI-VKHMYHEASA-N,GC LIB 1,103.06333,C4H9NO2,104.0706095,121.0971495,126.0525495
Oleic Acid,ZQPPMHVWECSIRJ-KTKRTIGZSA-N,GC LIB 1,282.25588,C18H34O2,283.2631613,300.2897013,305.2451013
Phytol,BOTWFXYSPFMFNR-PYDDKJGSSA-N,GC LIB 1,296.30792,C20H40O,297.3151969,314.3417369,319.2971369
Pyrogallol,WQGWDDDVZFFDIG-UHFFFAOYSA-N,GC LIB 1,126.03169,C6H6O3,127.0389751,144.0655151,149.0209151
Β-Cyano-L-Alanine,BXRLWGXPSRYJDZ-VKHMYHEASA-N,GC LIB 1,114.04293,C4H6N2O2,115.0502084,132.0767484,137.0321484
"1,3 Cyclohexanedione",HJSLFCCWAKVHIW-UHFFFAOYSA-N,GC LIB 10,112.05243,C6H8O2,113.0597105,130.0862505,135.0416505
2-Hydroxyquinoline,LISFMEBWQUVKPJ-UHFFFAOYSA-N,GC LIB 10,145.05276,C9H7NO,146.0600448,163.0865848,168.0419848
"3,4-Dihydroxyphenylacetic Acid",CFFZDZCDUFSOFZ-UHFFFAOYSA-N,GC LIB 10,168.04226,C8H8O4,169.0495397,186.0760797,191.0314797
3-Amino-3-(4-Hydroxy-Phenyl)-Propionic Acid,JYPHNHPXFNEZBR-UHFFFAOYSA-N,GC LIB 10,181.07389,C9H11NO3,182.0811742,199.1077142,204.0631142
3-Hydroxy-3-Methylglutaric Acid (Dicrotalic Acid),NPOAOTPXWNWTSH-UHFFFAOYSA-N,GC LIB 10,162.05282,C6H10O5,163.0601044,180.0866444,185.0420444
3-Hydroxypropanoic Acid,ALRHLSYJTWAHJZ-UHFFFAOYSA-N,GC LIB 10,90.03169,C3H6O3,91.03897505,108.0655151,113.0209151
4-Hydroxy-6-Methyl-2-Pyrone,NSYSSMYQPLSPOD-UHFFFAOYSA-N,GC LIB 10,126.03169,C6H6O3,127.0389751,144.0655151,149.0209151
4-Hydroxybenzyl Cyanide,AYKYOOPFBCOXSL-UHFFFAOYSA-N,GC LIB 10,133.05276,C8H7NO,134.0600448,151.0865848,156.0419848
4-Hydroxymandelonitrile,HOOOPXDSCKBLFG-UHFFFAOYSA-N,GC LIB 10,149.04768,C8H7NO2,150.0549595,167.0814995,172.0368995
4-Vinylphenol,FUGYGGDSWSUORM-UHFFFAOYSA-N,GC LIB 10,120.05751,C8H8O,121.0647959,138.0913359,143.0467359
6-Methylmercaptopurine,UIJIQXGRFSPYQW-UHFFFAOYSA-N,GC LIB 10,166.03132,C6H6N4S,167.0385984,184.0651384,189.0205384
D-(+)-Melezitose,QWIZNVHXZXRPDR-WSCXOGSTSA-N,GC LIB 10,504.16903,C18H32O16,505.1763159,522.2028559,527.1582559
D-Glucose,WQZGKKKJIJFFOK-GASJEMHNSA-N,GC LIB 10,180.06339,C6H12O6,181.0706691,198.0972091,203.0526091
Methyljasmonate,GEWDNTWNSAZUDX-WQMVXFAESA-N,GC LIB 10,224.14124,C13H20O3,225.1485255,242.1750655,247.1304655
N-2-Fluorenylacetamide,CZIHNRWJTSTCEX-UHFFFAOYSA-N,GC LIB 10,223.09971,C15H13NO,224.106995,241.133535,246.088935
N-Cyclohexylformamide,SWGXDLRCJNEEGZ-UHFFFAOYSA-N,GC LIB 10,127.09971,C7H13NO,128.106995,145.133535,150.088935
Phenaceturic Acid,UTYVDVLMYQPLQB-UHFFFAOYSA-N,GC LIB 10,193.07389,C10H11NO3,194.0811742,211.1077142,216.0631142
Phloretin,VGEREEWJJVICBM-UHFFFAOYSA-N,GC LIB 10,274.08412,C15H14O5,275.0914045,292.1179445,297.0733445
Tes,JOCBASBOOFNAJA-UHFFFAOYSA-N,GC LIB 10,229.06201,C6H15NO6S,230.0692894,247.0958294,252.0512294
16-Glucuronide-Estriol,FQYGGFDZJFIDPU-JRSYHJKYSA-N,GC LIB 11,464.20463,C24H32O9,465.2119136,482.2384536,487.1938536
2-Carboxybenzaldehyde,DYNFCHNNOHNJFG-UHFFFAOYSA-N,GC LIB 11,150.03169,C8H6O3,151.0389751,168.0655151,173.0209151
3-Chloro-L-Tyrosine,ACWBBAGYTKWBCD-ZETCQYMHSA-N,GC LIB 11,215.03492,C9H10ClNO3,216.0422019,233.0687419,238.0241419
3-Indoleacetonitrile,DMCPFOBLJMLSNX-UHFFFAOYSA-N,GC LIB 11,156.06875,C10H8N2,157.0760293,174.1025693,179.0579693
4-Guanidinobutyric Acid,TUHVEAJXIMEOSA-UHFFFAOYSA-N,GC LIB 11,145.08513,C5H11N3O2,146.0924076,163.1189476,168.0743476
4-Methyl-5-Thiazoleethanol,BKAWJIRCKVUVED-UHFFFAOYSA-N,GC LIB 11,143.04048,C6H9NOS,144.0477661,161.0743061,166.0297061
Acetylisatin,LPGDEHBASRKTDG-UHFFFAOYSA-N,GC LIB 11,189.04259,C10H7NO3,190.0498741,207.0764141,212.0318141
"Adenosil-3' Monophosphate (This compound was not found, replace with possible compound Adenosine 3'-monophosphate)",LNQVTSROQXJCDD-KQYNXXCUSA-N,GC LIB 11,347.06308,C10H14N5O7P,348.0703658,365.0969058,370.0523058
Allo-Inositol,CDAISMWEOUEBRE-UHFFFAOYSA-N,GC LIB 11,180.06339,C6H12O6,181.0706691,198.0972091,203.0526091
Asp-Glu,CKAJHWFHHFSCDT-UHFFFAOYSA-N,GC LIB 11,262.0801,C9H14N2O7,263.0873818,280.1139218,285.0693218
